Year,Value,Country,HS Code
2010,$0 ,Algeria,"8411114050--TURBOJET A/C TURBINES EXC CIVIL, THRUST LE 25 KN"
2010,$0 ,Algeria,"8411214050--TURBOPRPELLR A/C TBN, EX CIVIL, POWR NT OV 1100 KW"
2010,$0 ,Algeria,"8411224050--TURBOPROPELLER A/C TBN EXCEPT CIVIL, OV 1100 KW"
2010,$0 ,Algeria,"8411824050--GAS TURBINE A/C TBN EXC CIVIL, OVER 5000 KW"
2010,$0 ,Angola,"8411814050--GAS TURBINE A/C TBN EXC CIVIL, 5000 KW AND UNDER"
2010,$0 ,Angola,"8411824050--GAS TURBINE A/C TBN EXC CIVIL, OVER 5000 KW"
2010,$0 ,Angola,"8411997050--PARTS OF GAS TURBINE A/C ENG, EXC CIVIL A/C"
2010,$0 ,Argentina,"8411124050--TURBOJET A/C TURBINES EX  CIVIL, THRUST OVER 25"
2010,$0 ,Argentina,"8411224050--TURBOPROPELLER A/C TBN EXCEPT CIVIL, OV 1100 KW"
2010,$0 ,Argentina,"8411824050--GAS TURBINE A/C TBN EXC CIVIL, OVER 5000 KW"
2010,$0 ,Aruba,"8411814050--GAS TURBINE A/C TBN EXC CIVIL, 5000 KW AND UNDER"
2010,$0 ,Australia,"8411124050--TURBOJET A/C TURBINES EX  CIVIL, THRUST OVER 25"
2010,$0 ,Australia,"8411224050--TURBOPROPELLER A/C TBN EXCEPT CIVIL, OV 1100 KW"
2010,$0 ,Australia,"8411824050--GAS TURBINE A/C TBN EXC CIVIL, OVER 5000 KW"
2010,$0 ,Austria,"8411124050--TURBOJET A/C TURBINES EX  CIVIL, THRUST OVER 25"
2010,$0 ,Azerbaijan,"8411814050--GAS TURBINE A/C TBN EXC CIVIL, 5000 KW AND UNDER"
2010,$0 ,Azerbaijan,"8411824050--GAS TURBINE A/C TBN EXC CIVIL, OVER 5000 KW"
2010,$0 ,Azerbaijan,"8411917050--PARTS OF TURBOJET & TURBOPROPELLR A/C ENG,EX CIVIL"
2010,$0 ,Azerbaijan,"8411997050--PARTS OF GAS TURBINE A/C ENG, EXC CIVIL A/C"
